label,score
approval,0.9855002760887146
disappointment,0.8263377547264099
neutral,0.996446430683136
annoyance,0.972313106060028
realization,0.4259012341499328
admiration,0.3817537128925323
disappointment,0.5766094326972961
amusement,0.9860055446624756
neutral,0.9572919011116028
neutral,0.9972238540649414
neutral,0.9912130236625672
joy,0.6573701500892639
neutral,0.9896427989006042
curiosity,0.752602756023407
neutral,0.996878743171692
neutral,0.9967424273490906
realization,0.9884219765663148
neutral,0.9714754819869996
neutral,0.8679715394973755
admiration,0.8521375060081482
neutral,0.810404360294342
fear,0.99226576089859
disapproval,0.9289249777793884
realization,0.7139840126037598
realization,0.8920863270759583
realization,0.9230203032493592
neutral,0.9663153886795044
amusement,0.9806015491485596
admiration,0.8388856053352356
neutral,0.9546836018562316
neutral,0.6643800735473633
neutral,0.9237474799156188
annoyance,0.9470916986465454
disapproval,0.9851880073547364
disapproval,0.966737687587738
annoyance,0.8105713129043579
realization,0.9885204434394836
optimism,0.9239683747291564
confusion,0.9960241317749025
fear,0.6726678609848022
curiosity,0.977935552597046
confusion,0.537984311580658
admiration,0.9954530000686646
optimism,0.9936500191688538
optimism,0.6440072655677795
approval,0.4241848289966583
neutral,0.9769225120544434
love,0.5466330051422119
neutral,0.6476172208786011
realization,0.6039775609970093
annoyance,0.4536159932613373
neutral,0.997247278690338
curiosity,0.6104350090026855
disapproval,0.863774299621582
disapproval,0.946352243423462
curiosity,0.648730456829071
neutral,0.9031745791435242
disapproval,0.982956051826477
neutral,0.9978330731391908
neutral,0.7938593029975891
remorse,0.8018965125083923
curiosity,0.9076911807060242
neutral,0.6676311492919922
disappointment,0.4928862750530243
curiosity,0.553339958190918
realization,0.7804969549179077
fear,0.7026114463806152
curiosity,0.8294349312782288
neutral,0.8467381000518799
neutral,0.982196807861328
anger,0.5231130719184875
neutral,0.7314692735671997
neutral,0.9829591512680054
neutral,0.6306770443916321
sadness,0.7463130354881287
neutral,0.9340375661849976
neutral,0.993342101573944
excitement,0.9458417296409608
neutral,0.7754884362220764
neutral,0.9568939805030824
admiration,0.4125806391239166
disappointment,0.4259676933288574
neutral,0.9766064286231996
neutral,0.3342109620571136
curiosity,0.9889260530471802
disapproval,0.37551349401474
neutral,0.4712115526199341
disappointment,0.6888077259063721
disappointment,0.8859850168228149
neutral,0.8778637647628784
neutral,0.3516837954521179
admiration,0.9514194130897522
realization,0.9911453127861024
approval,0.9522349238395692
sadness,0.3419313728809356
curiosity,0.9347087144851683
neutral,0.8476325869560242
curiosity,0.9629908800125122
admiration,0.4748189747333526
neutral,0.8244374990463257
neutral,0.5813209414482117
disapproval,0.2635592520236969
neutral,0.7994258403778076
neutral,0.9604572653770448
neutral,0.926196277141571
neutral,0.9945399165153505
caring,0.3866601288318634
disapproval,0.8989103436470032
disappointment,0.9641994833946228
caring,0.9584317803382874
gratitude,0.8386865258216858
surprise,0.9731361865997314
neutral,0.997173309326172
realization,0.335063099861145
neutral,0.9933943152427672
curiosity,0.9919177889823914
approval,0.6035688519477844
neutral,0.9125903248786926
approval,0.8387156128883362
neutral,0.8416950106620789
neutral,0.7259274125099182
neutral,0.5317674279212952
neutral,0.457705557346344
sadness,0.259379893541336
neutral,0.9883621335029602
neutral,0.8371646404266357
annoyance,0.4841152131557464
gratitude,0.9954140186309814
love,0.9602231383323668
realization,0.4938701093196869
neutral,0.7746441960334778
love,0.9760452508926392
confusion,0.9936779141426086
curiosity,0.4086305499076843
disappointment,0.8940718173980713
nervousness,0.516640305519104
neutral,0.9426556825637816
neutral,0.8476808071136475
surprise,0.9889151453971864
neutral,0.7654755115509033
annoyance,0.6864622235298157
fear,0.992678999900818
fear,0.8163149952888489
neutral,0.7884083390235901
neutral,0.9902217388153076
neutral,0.8458438515663147
disappointment,0.778412938117981
realization,0.661456823348999
approval,0.5983689427375793
amusement,0.8429544568061829
neutral,0.8654307126998901
confusion,0.7922846674919128
fear,0.4369792640209198
curiosity,0.8733813762664795
sadness,0.929499328136444
realization,0.9959619641304016
admiration,0.6665086150169373
approval,0.909567654132843
realization,0.9966909885406494
neutral,0.4333251416683197
disapproval,0.5366901755332947
realization,0.6481388211250305
sadness,0.480929434299469
fear,0.9698797464370728
desire,0.4583756327629089
disgust,0.9797250628471376
neutral,0.7318172454833984
admiration,0.8736405968666077
realization,0.5600138902664185
annoyance,0.6948820352554321
fear,0.9870538115501404
neutral,0.8055301904678345
neutral,0.8256494402885437
confusion,0.7798482179641724
amusement,0.7031576633453369
disapproval,0.9389349222183228
disapproval,0.3756444752216339
confusion,0.4958927035331726
neutral,0.891892671585083
disapproval,0.6234774589538574
joy,0.9652124047279358
sadness,0.9875764846801758
disapproval,0.9125303626060486
realization,0.9966453909873962
neutral,0.8141487836837769
curiosity,0.6100977063179016
anger,0.9131098985671996
annoyance,0.2769905030727386
realization,0.555902898311615
fear,0.8937007784843445
gratitude,0.5543900728225708
neutral,0.4645277857780456
neutral,0.7455447912216187
confusion,0.9866454005241394
caring,0.9860249161720276
