label,score
optimism,0.9846875071525574
joy,0.42862626910209656
admiration,0.9743837714195251
amusement,0.9849156141281128
amusement,0.99142986536026
admiration,0.9867498278617859
neutral,0.995832622051239
approval,0.9274124503135681
curiosity,0.992312490940094
realization,0.9789583683013916
neutral,0.9246201515197754
joy,0.7691913843154907
joy,0.9636070728302002
admiration,0.9237109422683716
excitement,0.9259783029556274
approval,0.6952047944068909
admiration,0.9719542860984802
admiration,0.9927748441696167
joy,0.7432574033737183
neutral,0.9376769661903381
curiosity,0.9854670763015747
admiration,0.986362874507904
realization,0.7612032890319824
neutral,0.5351653695106506
disapproval,0.8351827263832092
admiration,0.8133193850517273
approval,0.6058812141418457
curiosity,0.6607140302658081
approval,0.4465268552303314
joy,0.9710213541984558
love,0.5592255592346191
optimism,0.7169026732444763
excitement,0.7720686197280884
excitement,0.3433949649333954
approval,0.5989875197410583
neutral,0.6899861693382263
admiration,0.9765142798423767
gratitude,0.9966028928756714
approval,0.859843373298645
approval,0.6873392462730408
admiration,0.9942091703414917
realization,0.9964931607246399
admiration,0.5436865091323853
admiration,0.7488637566566467
excitement,0.8359881639480591
admiration,0.9848715662956238
admiration,0.9287484288215637
admiration,0.9961703419685364
neutral,0.915475070476532
admiration,0.9954832792282104
neutral,0.9877695441246033
caring,0.9555199146270752
approval,0.9434686303138733
surprise,0.8055261969566345
admiration,0.9731290340423584
approval,0.9278000593185425
neutral,0.5839851498603821
admiration,0.8321182131767273
admiration,0.984184980392456
admiration,0.553382158279419
neutral,0.5986353754997253
joy,0.943218469619751
neutral,0.8092532157897949
excitement,0.963206946849823
approval,0.9911414384841919
approval,0.6117606163024902
neutral,0.985184907913208
amusement,0.9623639583587646
amusement,0.9845463037490845
amusement,0.7854247689247131
excitement,0.7870280742645264
love,0.9275240302085876
excitement,0.5819734930992126
realization,0.6353372931480408
neutral,0.3242183327674866
admiration,0.4942145049571991
excitement,0.9842215776443481
approval,0.9358787536621094
gratitude,0.9889551401138306
approval,0.7754924893379211
admiration,0.9352307319641113
neutral,0.5251803398132324
approval,0.9642324447631836
admiration,0.9884491562843323
approval,0.44757279753685
curiosity,0.8622471690177917
fear,0.9480383992195129
caring,0.43915966153144836
admiration,0.5701424479484558
approval,0.8740655183792114
admiration,0.9866717457771301
approval,0.7639666199684143
neutral,0.8678939342498779
admiration,0.9895654916763306
admiration,0.8009837865829468
love,0.8546170592308044
neutral,0.3729306757450104
admiration,0.8906313180923462
admiration,0.5262950658798218
